      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
2021-11-29 08:43:02,   1000,       9.04,           0,       0.01,      110.62,        0.00,        1.13,    1000,       0
2021-11-29 08:43:25,   5000,      10.63,           1,       0.24,      470.37,        0.09,      111.25,    5000,       0
2021-11-29 08:43:53,   5500,      11.50,           2,       0.33,      478.26,        0.17,      159.95,    5500,       0
2021-11-29 08:44:19,   6000,      13.10,           2,       0.42,      458.02,        0.15,      191.10,    6000,       0
2021-11-29 08:44:46,   6500,      13.25,           2,       0.50,      490.57,        0.15,      243.29,    6500,       0
2021-11-29 08:45:10,   7000,      14.11,           2,       0.58,      496.10,        0.14,      289.76,    7000,       0
2021-11-29 08:45:36,   7500,      13.78,           2,       0.57,      544.27,        0.15,      308.83,    7500,       0
2021-11-29 08:45:59,   8000,      14.09,           2,       0.55,      567.78,        0.14,      310.64,    8000,       0
2021-11-29 08:46:25,   8500,      17.52,           3,       0.76,      485.16,        0.17,      369.63,    8500,       0
2021-11-29 08:47:05,   9000,      17.44,           3,       0.86,      516.06,        0.17,      445.54,    9000,       0
2021-11-29 08:47:36,   9500,      19.48,           3,       0.92,      487.68,        0.15,      447.56,    9500,       0
2021-11-29 08:48:07,  10000,      20.35,           3,       0.99,      491.40,        0.15,      488.04,   10000,       0
2021-11-29 08:48:41,  11000,      23.42,           4,       1.29,      469.68,        0.17,      604.32,   11000,       0
2021-11-29 08:49:25,  12000,      28.44,           4,       1.35,      421.94,        0.14,      568.60,   12000,       0
2021-11-29 08:50:54,  11500,      32.29,           4,       1.24,      356.15,        0.12,      441.62,   11500,       0
2021-11-29 08:57:19,   9914,      48.33,           3,       2.42,      205.13,        0.06,      496.59,    9914,      86
2021-11-29 09:01:20,  19933,      94.11,           7,       2.40,      211.81,        0.07,      508.23,   19933,      67
2021-11-29 09:05:46,  24504,     211.28,           8,       2.56,      115.98,        0.04,      296.48,   24504,    1697
2021-11-29 09:23:37,  39774,     190.22,          14,       2.48,      209.09,        0.07,      518.20,   39774,     226
